id_produto,nome,modelo,preco,id_categoria,id_fornecedor,id_marca
1,Smartphone Galaxy A15,A15-128GB,1299.90,1,1,1
2,Smart TV LG 50,L50UHD,2499.00,1,2,2
3,Fone Sony WH-CH520,CH520BT,349.90,1,3,3
4,iPhone 13,IP13-128GB,3899.00,1,1,4
5,Geladeira Brastemp Frost Free,BRM44,3299.00,2,4,5
6,Microondas Electrolux,EMB38,699.90,2,4,6
7,Aparador de Barba Philips,QG3520,159.90,6,3,7
8,Notebook Dell Inspiron,INS15-11300,3499.00,1,2,8
9,Notebook Asus Vivobook,X1504ZA,2899.00,1,1,9
10,Notebook Lenovo IdeaPad,IDP3-82XA,2999.00,1,1,10
11,Xbox Series S,XSS-512GB,2199.90,1,2,11
12,Mouse Logitech M720,M720Tri,199.90,1,3,12
13,Headset HyperX Cloud Stinger,STINGER-HX,299.90,1,3,13
14,Notebook Acer Aspire 5,A515-57,3199.00,1,2,14
15,Furadeira Bosch GSB 450,GSB450,239.90,9,7,15
16,Secador Taiff Style,STY1600,169.90,6,3,16
17,Liquidificador Arno Power Max,PA34,189.90,2,4,17
18,Batedeira Mondial Premium,BM02,159.90,2,4,18
19,Telefone Panasonic Sem Fio,KX-TGB110,129.90,1,6,19
20,Tenis Nike Revolution 6,REV6-MASC,279.90,5,5,20
21,Livro O Pequeno Principe,LIV001,29.90,4,10,20
22,Livro Clean Code,LIV002,89.90,4,10,12
23,Livro Harry Potter e a Pedra Filosofal,LIV003,39.90,4,10,3
24,Cafeteira Electrolux Love Your Day,LYD10,249.90,2,4,6
25,Air Fryer Mondial Family,AF-30,349.90,2,4,18
26,Multimetro Bosch MSM100,MSM100,199.90,9,7,15
27,Caixa de Som Sony XB13,XB13BT,399.90,1,3,3
28,Monitor Dell 24,FHD-U2422,1099.00,1,2,8
29,Teclado Logitech K380,K380BT,229.90,1,3,12
30,Smartwatch Samsung Galaxy Watch 5,GW5-44MM,1099.90,1,1,1
